episode,observation,action,reward,next_observation,done,step_duration,agent
2,"[ 0.2718513  -0.31423157 -0.55211055 -1.5371674  -0.06430073  0.88225734
 -0.10173953  1.4583489   0.4724027   1.0611526   1.2989264   0.9746871
 -0.7030495   1.6192029  -0.40111488 -0.07664488]",1,0.0,"[-0.26720065 -0.6485557  -0.07970787 -0.47601488 -0.5367034  -0.17889522
 -0.5741422   0.39719632 -0.4724027  -1.0611526   0.82652366 -0.08646549
 -1.1754521   0.5580503  -0.40111488 -0.07664488]",False,0.0002868175506591797,adversary_0
2,"[-0.09611153 -0.23567368 -0.5249254  -1.5685906  -0.09148586  0.9136805
 -0.12892465  1.4897721   0.4184975   1.0277202   1.268645    1.0152792
 -0.7703461   1.6429615  -0.30083615  0.34251633]",3,0.0,"[-0.20040047 -0.78641677 -0.10642793 -0.5408704  -0.50998336 -0.11403964
 -0.5474222   0.4620519  -0.4184975  -1.0277202   0.8501475  -0.01244103
 -1.1888436   0.61524135 -0.30083615  0.34251633]",False,0.0002818107604980469,adversary_0
2,"[-0.07208364 -0.47675526 -0.5345366  -1.592158   -0.08187471  0.9372479
 -0.11931351  1.5133394   0.4080686   0.9726458   1.275934    1.0457232
 -0.7908186   1.7007805  -0.22562712  0.25688726]",3,0.0,"[-0.15030035 -0.5898126  -0.12646797 -0.61951214 -0.48994333 -0.03539796
 -0.52738214  0.5406936  -0.4080686  -0.9726458   0.8678653   0.07307732
 -1.1988871   0.7281347  -0.22562712  0.25688726]",False,0.0002799034118652344,adversary_0
2,"[-0.05406273 -0.6575664  -0.54174495 -1.6398335  -0.07466634  0.9849234
 -0.11210514  1.5610149   0.40024695  0.9613401   1.3114007   1.0985562
 -0.8061729   1.7741448  -0.16922034 -0.20733456]",0,0.0,"[-0.11272527 -0.44235945 -0.14149801 -0.6784934  -0.47491327  0.0235833
 -0.5123521   0.5996748  -0.40024695 -0.9613401   0.91115373  0.13721609
 -1.2064198   0.81280464 -0.16922034 -0.20733456]",False,0.0006892681121826172,adversary_0
2,"[-0.04054705 -0.49317482 -0.5471512  -1.7055901  -0.06926007  1.05068
 -0.10669887  1.6267716   0.3943807   0.9828608   1.3380008   1.138181
 -0.81768864  1.819168   -0.12691526  0.24449909]",3,0.0,"[-0.08454395 -0.6317696  -0.15277053 -0.7227293  -0.46364075  0.06781924
 -0.50107956  0.64391077 -0.3943807  -0.9828608   0.94362     0.15532015
 -1.2120694   0.83630717 -0.12691526  0.24449909]",False,0.00028967857360839844,adversary_0
2,"[-0.03041029 -0.6698811  -0.55120593 -1.7549076  -0.06520537  1.0999975
 -0.10264416  1.676089    0.389981    0.96900135  1.3579508   1.1978996
 -0.8263255   1.8929354  -0.09518644 -0.21662569]",0,0.0,"[-0.06340797 -0.7738272  -0.16122493 -0.7859063  -0.45518637  0.1309962
 -0.49262515  0.70708776 -0.389981   -0.96900135  0.9679698   0.22889821
 -1.2163064   0.92393404 -0.09518644 -0.21662569]",False,0.0002868175506591797,adversary_0
2,"[-0.02280772 -0.5024108  -0.55424696 -1.8218957  -0.06216434  1.1669856
 -0.09960313  1.7430772   0.38668123  0.9586067   1.3729132   1.2726885
 -0.8328031   1.9382609  -0.47138983 -0.16246927]",0,0.0,"[-0.34755597 -0.58037037 -0.16756573 -0.863289   -0.44884557  0.20837891
 -0.48628438  0.78447044 -0.38668123 -0.9586067   0.98623204  0.31408176
 -1.2194843   0.9796542  -0.47138983 -0.16246927]",False,0.00028514862060546875,adversary_0
2,"[-0.01710579 -0.37680814 -0.55652773 -1.8721368  -0.05988356  1.2172267
 -0.09732236  1.7933183   0.3542064   0.9508108   1.3841351   1.3287802
 -0.8776613   1.9722551   0.04645763 -0.12185195]",1,0.0,"[-0.26066697 -0.1352778  -0.20232134 -0.92132604 -0.41408998  0.26641595
 -0.45152876  0.8425075  -0.3542064  -0.9508108   1.0299288   0.3779694
 -1.2318677   1.0214443   0.04645763 -0.12185195]",False,0.00028514862060546875,adversary_0
3,"[ 0.          0.         -0.4479035   0.36770052  1.1071379  -0.93416405
  0.10475402 -0.22651471  0.22150889  0.40959904  0.15060945 -0.77287644
  0.7555605  -0.43043533  0.          0.        ]",3,0.0,"[ 0.          0.         -0.22639464  0.7772995   0.88562906 -1.3437631
 -0.11675486 -0.63611376 -0.22150889 -0.40959904 -0.07089943 -1.1824754
  0.53405166 -0.84003437  0.          0.        ]",False,0.00032019615173339844,adversary_0
3,"[-0.1067659  -0.06913491 -0.4479035   0.36770052  1.1071379  -0.93416405
  0.10475402 -0.22651471  0.22150889  0.40959904  0.15060945 -0.77287644
  0.7555605  -0.43043533 -0.          0.4       ]",0,0.0,"[ 0.          0.         -0.22639464  0.7772995   0.88562906 -1.3437631
 -0.11675486 -0.63611376 -0.22150889 -0.40959904 -0.07089943 -1.1824754
  0.53405166 -0.84003437 -0.          0.4       ]",False,0.0003199577331542969,adversary_0
3,"[-0.18684033  0.1790139  -0.4585801   0.36078703  1.1178145  -0.9272505
  0.11543062 -0.21960123  0.23218548  0.41651252  0.16128604 -0.76596296
  0.7662371  -0.38352183  0.4         0.3       ]",1,0.0,"[ 0.3         0.         -0.22639464  0.7772995   0.88562906 -1.3437631
 -0.11675486 -0.63611376 -0.23218548 -0.41651252 -0.07089943 -1.1824754
  0.53405166 -0.80003434  0.4         0.3       ]",False,0.00042891502380371094,adversary_0
